City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
473,monywa,22.1167,95.1333,31.650000000000034,59,100,1.59,MM,1689158820
474,murgeni,46.2044,28.0197,27.77000000000004,44,5,1.44,RO,1689158821
475,silopi,37.2497,42.4694,37.650000000000034,12,0,2.97,TR,1689158823
476,santana,-0.0583,-51.1817,24.100000000000023,100,0,1.54,BR,1689158824
477,kapit,2.0167,112.9333,24.160000000000025,97,89,0.24,MY,1689158825
478,conduaga,8.862,117.4893,26.510000000000048,86,66,2.81,PH,1689158826
479,bayevo,53.2833,80.7667,32.43000000000001,34,37,4.45,RU,1689158827
480,itupiranga,-5.1347,-49.3267,24.180000000000007,75,0,0.83,BR,1689158829
481,kerikeri,-35.2268,173.9474,9.950000000000045,91,11,3.2,NZ,1689158830
482,dryden,49.7833,-92.7503,11.160000000000025,87,0,0.0,CA,1689158831
483,stephenville,32.2207,-98.2023,28.260000000000048,72,40,3.6,US,1689158832
484,murray bridge,-35.1167,139.2667,10.740000000000009,71,74,2.93,AU,1689158833
485,mount isa,-20.7333,139.5,19.870000000000005,60,0,4.12,AU,1689158834
486,clarion,41.2148,-79.3853,20.100000000000023,83,68,1.79,US,1689158835
487,porto novo,6.4965,2.6036,23.900000000000034,94,100,1.59,BJ,1689158836
488,kainantu,-6.2887,145.8655,15.129999999999995,97,66,1.14,PG,1689158837
489,ashburton,-37.8626,145.0794,12.990000000000009,68,66,3.71,AU,1689158838
490,ceerigaabo,10.6162,47.368,27.52000000000004,31,51,10.88,SO,1689158839
491,vung tau,10.346,107.0843,29.590000000000032,80,73,7.67,VN,1689158819
492,yasnyy,51.0333,59.8742,20.77000000000004,70,100,4.46,RU,1689158841
493,tuy hoa,13.0833,109.3,28.340000000000032,81,49,2.66,VN,1689158842
494,chauk,20.8833,94.8167,34.410000000000025,44,100,7.14,MM,1689158843
495,kapa'a,22.0752,-159.319,27.180000000000007,81,100,7.2,US,1689158844
496,inderbor,48.55,51.7833,27.49000000000001,31,73,6.14,KZ,1689158845
497,carutapera,-1.195,-46.02,27.350000000000023,78,14,2.79,BR,1689158846
498,nurota,40.5614,65.6886,41.460000000000036,6,0,7.25,UZ,1689158847
499,srandakan,-7.9386,110.2506,24.120000000000005,79,56,4.26,ID,1689158849
500,ternate,0.8,127.4,27.24000000000001,83,92,3.28,ID,1689158850
501,bouarfa,32.53,-1.95,37.43000000000001,11,75,3.93,MA,1689158851
502,toliara,-23.35,43.6667,24.430000000000007,37,7,7.54,MG,1689158852
